index,emoji,name,group,sub_group,codepoints
1872,🧎🏼‍♂️,man kneeling: medium-light skin tone,People & Body,person-activity,1F9CE 1F3FC 200D 2642 FE0F
1873,🧎🏼‍♂,man kneeling: medium-light skin tone,People & Body,person-activity,1F9CE 1F3FC 200D 2642
1874,🧎🏽‍♂️,man kneeling: medium skin tone,People & Body,person-activity,1F9CE 1F3FD 200D 2642 FE0F
1875,🧎🏽‍♂,man kneeling: medium skin tone,People & Body,person-activity,1F9CE 1F3FD 200D 2642
1876,🧎🏾‍♂️,man kneeling: medium-dark skin tone,People & Body,person-activity,1F9CE 1F3FE 200D 2642 FE0F
1877,🧎🏾‍♂,man kneeling: medium-dark skin tone,People & Body,person-activity,1F9CE 1F3FE 200D 2642
1878,🧎🏿‍♂️,man kneeling: dark skin tone,People & Body,person-activity,1F9CE 1F3FF 200D 2642 FE0F
1879,🧎🏿‍♂,man kneeling: dark skin tone,People & Body,person-activity,1F9CE 1F3FF 200D 2642
1880,🧎‍♀️,woman kneeling,People & Body,person-activity,1F9CE 200D 2640 FE0F
1881,🧎‍♀,woman kneeling,People & Body,person-activity,1F9CE 200D 2640
1882,🧎🏻‍♀️,woman kneeling: light skin tone,People & Body,person-activity,1F9CE 1F3FB 200D 2640 FE0F
1883,🧎🏻‍♀,woman kneeling: light skin tone,People & Body,person-activity,1F9CE 1F3FB 200D 2640
1884,🧎🏼‍♀️,woman kneeling: medium-light skin tone,People & Body,person-activity,1F9CE 1F3FC 200D 2640 FE0F
1885,🧎🏼‍♀,woman kneeling: medium-light skin tone,People & Body,person-activity,1F9CE 1F3FC 200D 2640
1886,🧎🏽‍♀️,woman kneeling: medium skin tone,People & Body,person-activity,1F9CE 1F3FD 200D 2640 FE0F
1887,🧎🏽‍♀,woman kneeling: medium skin tone,People & Body,person-activity,1F9CE 1F3FD 200D 2640
1888,🧎🏾‍♀️,woman kneeling: medium-dark skin tone,People & Body,person-activity,1F9CE 1F3FE 200D 2640 FE0F
1889,🧎🏾‍♀,woman kneeling: medium-dark skin tone,People & Body,person-activity,1F9CE 1F3FE 200D 2640
1890,🧎🏿‍♀️,woman kneeling: dark skin tone,People & Body,person-activity,1F9CE 1F3FF 200D 2640 FE0F
1891,🧎🏿‍♀,woman kneeling: dark skin tone,People & Body,person-activity,1F9CE 1F3FF 200D 2640
1892,🧑‍🦯,person with white cane,People & Body,person-activity,1F9D1 200D 1F9AF
1893,🧑🏻‍🦯,person with white cane: light skin tone,People & Body,person-activity,1F9D1 1F3FB 200D 1F9AF
1894,🧑🏼‍🦯,person with white cane: medium-light skin tone,People & Body,person-activity,1F9D1 1F3FC 200D 1F9AF
1895,🧑🏽‍🦯,person with white cane: medium skin tone,People & Body,person-activity,1F9D1 1F3FD 200D 1F9AF
1896,🧑🏾‍🦯,person with white cane: medium-dark skin tone,People & Body,person-activity,1F9D1 1F3FE 200D 1F9AF
1897,🧑🏿‍🦯,person with white cane: dark skin tone,People & Body,person-activity,1F9D1 1F3FF 200D 1F9AF
1898,👨‍🦯,man with white cane,People & Body,person-activity,1F468 200D 1F9AF
1899,👨🏻‍🦯,man with white cane: light skin tone,People & Body,person-activity,1F468 1F3FB 200D 1F9AF
1900,👨🏼‍🦯,man with white cane: medium-light skin tone,People & Body,person-activity,1F468 1F3FC 200D 1F9AF
1901,👨🏽‍🦯,man with white cane: medium skin tone,People & Body,person-activity,1F468 1F3FD 200D 1F9AF
1902,👨🏾‍🦯,man with white cane: medium-dark skin tone,People & Body,person-activity,1F468 1F3FE 200D 1F9AF
1903,👨🏿‍🦯,man with white cane: dark skin tone,People & Body,person-activity,1F468 1F3FF 200D 1F9AF
1904,👩‍🦯,woman with white cane,People & Body,person-activity,1F469 200D 1F9AF
1905,👩🏻‍🦯,woman with white cane: light skin tone,People & Body,person-activity,1F469 1F3FB 200D 1F9AF
1906,👩🏼‍🦯,woman with white cane: medium-light skin tone,People & Body,person-activity,1F469 1F3FC 200D 1F9AF
1907,👩🏽‍🦯,woman with white cane: medium skin tone,People & Body,person-activity,1F469 1F3FD 200D 1F9AF
1908,👩🏾‍🦯,woman with white cane: medium-dark skin tone,People & Body,person-activity,1F469 1F3FE 200D 1F9AF
1909,👩🏿‍🦯,woman with white cane: dark skin tone,People & Body,person-activity,1F469 1F3FF 200D 1F9AF
1910,🧑‍🦼,person in motorized wheelchair,People & Body,person-activity,1F9D1 200D 1F9BC
1911,🧑🏻‍🦼,person in motorized wheelchair: light skin tone,People & Body,person-activity,1F9D1 1F3FB 200D 1F9BC
1912,🧑🏼‍🦼,person in motorized wheelchair: medium-light skin tone,People & Body,person-activity,1F9D1 1F3FC 200D 1F9BC
1913,🧑🏽‍🦼,person in motorized wheelchair: medium skin tone,People & Body,person-activity,1F9D1 1F3FD 200D 1F9BC
1914,🧑🏾‍🦼,person in motorized wheelchair: medium-dark skin tone,People & Body,person-activity,1F9D1 1F3FE 200D 1F9BC
1915,🧑🏿‍🦼,person in motorized wheelchair: dark skin tone,People & Body,person-activity,1F9D1 1F3FF 200D 1F9BC
1916,👨‍🦼,man in motorized wheelchair,People & Body,person-activity,1F468 200D 1F9BC
1917,👨🏻‍🦼,man in motorized wheelchair: light skin tone,People & Body,person-activity,1F468 1F3FB 200D 1F9BC
1918,👨🏼‍🦼,man in motorized wheelchair: medium-light skin tone,People & Body,person-activity,1F468 1F3FC 200D 1F9BC
1919,👨🏽‍🦼,man in motorized wheelchair: medium skin tone,People & Body,person-activity,1F468 1F3FD 200D 1F9BC
1920,👨🏾‍🦼,man in motorized wheelchair: medium-dark skin tone,People & Body,person-activity,1F468 1F3FE 200D 1F9BC
1921,👨🏿‍🦼,man in motorized wheelchair: dark skin tone,People & Body,person-activity,1F468 1F3FF 200D 1F9BC
1922,👩‍🦼,woman in motorized wheelchair,People & Body,person-activity,1F469 200D 1F9BC
1923,👩🏻‍🦼,woman in motorized wheelchair: light skin tone,People & Body,person-activity,1F469 1F3FB 200D 1F9BC
1924,👩🏼‍🦼,woman in motorized wheelchair: medium-light skin tone,People & Body,person-activity,1F469 1F3FC 200D 1F9BC
1925,👩🏽‍🦼,woman in motorized wheelchair: medium skin tone,People & Body,person-activity,1F469 1F3FD 200D 1F9BC
1926,👩🏾‍🦼,woman in motorized wheelchair: medium-dark skin tone,People & Body,person-activity,1F469 1F3FE 200D 1F9BC
1927,👩🏿‍🦼,woman in motorized wheelchair: dark skin tone,People & Body,person-activity,1F469 1F3FF 200D 1F9BC
1928,🧑‍🦽,person in manual wheelchair,People & Body,person-activity,1F9D1 200D 1F9BD
1929,🧑🏻‍🦽,person in manual wheelchair: light skin tone,People & Body,person-activity,1F9D1 1F3FB 200D 1F9BD
1930,🧑🏼‍🦽,person in manual wheelchair: medium-light skin tone,People & Body,person-activity,1F9D1 1F3FC 200D 1F9BD
1931,🧑🏽‍🦽,person in manual wheelchair: medium skin tone,People & Body,person-activity,1F9D1 1F3FD 200D 1F9BD
1932,🧑🏾‍🦽,person in manual wheelchair: medium-dark skin tone,People & Body,person-activity,1F9D1 1F3FE 200D 1F9BD
1933,🧑🏿‍🦽,person in manual wheelchair: dark skin tone,People & Body,person-activity,1F9D1 1F3FF 200D 1F9BD
1934,👨‍🦽,man in manual wheelchair,People & Body,person-activity,1F468 200D 1F9BD
1935,👨🏻‍🦽,man in manual wheelchair: light skin tone,People & Body,person-activity,1F468 1F3FB 200D 1F9BD
1936,👨🏼‍🦽,man in manual wheelchair: medium-light skin tone,People & Body,person-activity,1F468 1F3FC 200D 1F9BD
1937,👨🏽‍🦽,man in manual wheelchair: medium skin tone,People & Body,person-activity,1F468 1F3FD 200D 1F9BD
1938,👨🏾‍🦽,man in manual wheelchair: medium-dark skin tone,People & Body,person-activity,1F468 1F3FE 200D 1F9BD
1939,👨🏿‍🦽,man in manual wheelchair: dark skin tone,People & Body,person-activity,1F468 1F3FF 200D 1F9BD
1940,👩‍🦽,woman in manual wheelchair,People & Body,person-activity,1F469 200D 1F9BD
1941,👩🏻‍🦽,woman in manual wheelchair: light skin tone,People & Body,person-activity,1F469 1F3FB 200D 1F9BD
1942,👩🏼‍🦽,woman in manual wheelchair: medium-light skin tone,People & Body,person-activity,1F469 1F3FC 200D 1F9BD
1943,👩🏽‍🦽,woman in manual wheelchair: medium skin tone,People & Body,person-activity,1F469 1F3FD 200D 1F9BD
1944,👩🏾‍🦽,woman in manual wheelchair: medium-dark skin tone,People & Body,person-activity,1F469 1F3FE 200D 1F9BD
1945,👩🏿‍🦽,woman in manual wheelchair: dark skin tone,People & Body,person-activity,1F469 1F3FF 200D 1F9BD
1946,🏃,person running,People & Body,person-activity,1F3C3
1947,🏃🏻,person running: light skin tone,People & Body,person-activity,1F3C3 1F3FB
1948,🏃🏼,person running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC
1949,🏃🏽,person running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD
1950,🏃🏾,person running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE
1951,🏃🏿,person running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF
1952,🏃‍♂️,man running,People & Body,person-activity,1F3C3 200D 2642 FE0F
1953,🏃‍♂,man running,People & Body,person-activity,1F3C3 200D 2642
1954,🏃🏻‍♂️,man running: light skin tone,People & Body,person-activity,1F3C3 1F3FB 200D 2642 FE0F
1955,🏃🏻‍♂,man running: light skin tone,People & Body,person-activity,1F3C3 1F3FB 200D 2642
1956,🏃🏼‍♂️,man running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC 200D 2642 FE0F
1957,🏃🏼‍♂,man running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC 200D 2642
1958,🏃🏽‍♂️,man running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD 200D 2642 FE0F
1959,🏃🏽‍♂,man running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD 200D 2642
1960,🏃🏾‍♂️,man running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE 200D 2642 FE0F
1961,🏃🏾‍♂,man running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE 200D 2642
1962,🏃🏿‍♂️,man running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF 200D 2642 FE0F
1963,🏃🏿‍♂,man running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF 200D 2642
1964,🏃‍♀️,woman running,People & Body,person-activity,1F3C3 200D 2640 FE0F
1965,🏃‍♀,woman running,People & Body,person-activity,1F3C3 200D 2640
1966,🏃🏻‍♀️,woman running: light skin tone,People & Body,person-activity,1F3C3 1F3FB 200D 2640 FE0F
1967,🏃🏻‍♀,woman running: light skin tone,People & Body,person-activity,1F3C3 1F3FB 200D 2640
1968,🏃🏼‍♀️,woman running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC 200D 2640 FE0F
1969,🏃🏼‍♀,woman running: medium-light skin tone,People & Body,person-activity,1F3C3 1F3FC 200D 2640
1970,🏃🏽‍♀️,woman running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD 200D 2640 FE0F
1971,🏃🏽‍♀,woman running: medium skin tone,People & Body,person-activity,1F3C3 1F3FD 200D 2640
1972,🏃🏾‍♀️,woman running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE 200D 2640 FE0F
1973,🏃🏾‍♀,woman running: medium-dark skin tone,People & Body,person-activity,1F3C3 1F3FE 200D 2640
1974,🏃🏿‍♀️,woman running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF 200D 2640 FE0F
1975,🏃🏿‍♀,woman running: dark skin tone,People & Body,person-activity,1F3C3 1F3FF 200D 2640
1976,💃,woman dancing,People & Body,person-activity,1F483
1977,💃🏻,woman dancing: light skin tone,People & Body,person-activity,1F483 1F3FB
1978,💃🏼,woman dancing: medium-light skin tone,People & Body,person-activity,1F483 1F3FC
1979,💃🏽,woman dancing: medium skin tone,People & Body,person-activity,1F483 1F3FD
1980,💃🏾,woman dancing: medium-dark skin tone,People & Body,person-activity,1F483 1F3FE
1981,💃🏿,woman dancing: dark skin tone,People & Body,person-activity,1F483 1F3FF
1982,🕺,man dancing,People & Body,person-activity,1F57A
1983,🕺🏻,man dancing: light skin tone,People & Body,person-activity,1F57A 1F3FB
1984,🕺🏼,man dancing: medium-light skin tone,People & Body,person-activity,1F57A 1F3FC
1985,🕺🏽,man dancing: medium skin tone,People & Body,person-activity,1F57A 1F3FD
1986,🕺🏾,man dancing: medium-dark skin tone,People & Body,person-activity,1F57A 1F3FE
1987,🕺🏿,man dancing: dark skin tone,People & Body,person-activity,1F57A 1F3FF
1988,🕴️,person in suit levitating,People & Body,person-activity,1F574 FE0F
1989,🕴,person in suit levitating,People & Body,person-activity,1F574
1990,🕴🏻,person in suit levitating: light skin tone,People & Body,person-activity,1F574 1F3FB
1991,🕴🏼,person in suit levitating: medium-light skin tone,People & Body,person-activity,1F574 1F3FC
1992,🕴🏽,person in suit levitating: medium skin tone,People & Body,person-activity,1F574 1F3FD
1993,🕴🏾,person in suit levitating: medium-dark skin tone,People & Body,person-activity,1F574 1F3FE
1994,🕴🏿,person in suit levitating: dark skin tone,People & Body,person-activity,1F574 1F3FF
1995,👯,people with bunny ears,People & Body,person-activity,1F46F
1996,👯‍♂️,men with bunny ears,People & Body,person-activity,1F46F 200D 2642 FE0F
1997,👯‍♂,men with bunny ears,People & Body,person-activity,1F46F 200D 2642
1998,👯‍♀️,women with bunny ears,People & Body,person-activity,1F46F 200D 2640 FE0F
1999,👯‍♀,women with bunny ears,People & Body,person-activity,1F46F 200D 2640
2000,🧖,person in steamy room,People & Body,person-activity,1F9D6
2001,🧖🏻,person in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB
2002,🧖🏼,person in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC
2003,🧖🏽,person in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD
2004,🧖🏾,person in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE
2005,🧖🏿,person in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF
2006,🧖‍♂️,man in steamy room,People & Body,person-activity,1F9D6 200D 2642 FE0F
2007,🧖‍♂,man in steamy room,People & Body,person-activity,1F9D6 200D 2642
2008,🧖🏻‍♂️,man in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB 200D 2642 FE0F
2009,🧖🏻‍♂,man in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB 200D 2642
2010,🧖🏼‍♂️,man in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC 200D 2642 FE0F
2011,🧖🏼‍♂,man in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC 200D 2642
2012,🧖🏽‍♂️,man in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD 200D 2642 FE0F
2013,🧖🏽‍♂,man in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD 200D 2642
2014,🧖🏾‍♂️,man in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE 200D 2642 FE0F
2015,🧖🏾‍♂,man in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE 200D 2642
2016,🧖🏿‍♂️,man in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF 200D 2642 FE0F
2017,🧖🏿‍♂,man in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF 200D 2642
2018,🧖‍♀️,woman in steamy room,People & Body,person-activity,1F9D6 200D 2640 FE0F
2019,🧖‍♀,woman in steamy room,People & Body,person-activity,1F9D6 200D 2640
2020,🧖🏻‍♀️,woman in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB 200D 2640 FE0F
2021,🧖🏻‍♀,woman in steamy room: light skin tone,People & Body,person-activity,1F9D6 1F3FB 200D 2640
2022,🧖🏼‍♀️,woman in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC 200D 2640 FE0F
2023,🧖🏼‍♀,woman in steamy room: medium-light skin tone,People & Body,person-activity,1F9D6 1F3FC 200D 2640
2024,🧖🏽‍♀️,woman in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD 200D 2640 FE0F
2025,🧖🏽‍♀,woman in steamy room: medium skin tone,People & Body,person-activity,1F9D6 1F3FD 200D 2640
2026,🧖🏾‍♀️,woman in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE 200D 2640 FE0F
2027,🧖🏾‍♀,woman in steamy room: medium-dark skin tone,People & Body,person-activity,1F9D6 1F3FE 200D 2640
2028,🧖🏿‍♀️,woman in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF 200D 2640 FE0F
2029,🧖🏿‍♀,woman in steamy room: dark skin tone,People & Body,person-activity,1F9D6 1F3FF 200D 2640
2030,🧗,person climbing,People & Body,person-activity,1F9D7
2031,🧗🏻,person climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB
2032,🧗🏼,person climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC
2033,🧗🏽,person climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD
2034,🧗🏾,person climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE
2035,🧗🏿,person climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF
2036,🧗‍♂️,man climbing,People & Body,person-activity,1F9D7 200D 2642 FE0F
2037,🧗‍♂,man climbing,People & Body,person-activity,1F9D7 200D 2642
2038,🧗🏻‍♂️,man climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB 200D 2642 FE0F
2039,🧗🏻‍♂,man climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB 200D 2642
2040,🧗🏼‍♂️,man climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC 200D 2642 FE0F
2041,🧗🏼‍♂,man climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC 200D 2642
2042,🧗🏽‍♂️,man climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD 200D 2642 FE0F
2043,🧗🏽‍♂,man climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD 200D 2642
2044,🧗🏾‍♂️,man climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE 200D 2642 FE0F
2045,🧗🏾‍♂,man climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE 200D 2642
2046,🧗🏿‍♂️,man climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF 200D 2642 FE0F
2047,🧗🏿‍♂,man climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF 200D 2642
2048,🧗‍♀️,woman climbing,People & Body,person-activity,1F9D7 200D 2640 FE0F
2049,🧗‍♀,woman climbing,People & Body,person-activity,1F9D7 200D 2640
2050,🧗🏻‍♀️,woman climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB 200D 2640 FE0F
2051,🧗🏻‍♀,woman climbing: light skin tone,People & Body,person-activity,1F9D7 1F3FB 200D 2640
2052,🧗🏼‍♀️,woman climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC 200D 2640 FE0F
2053,🧗🏼‍♀,woman climbing: medium-light skin tone,People & Body,person-activity,1F9D7 1F3FC 200D 2640
2054,🧗🏽‍♀️,woman climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD 200D 2640 FE0F
2055,🧗🏽‍♀,woman climbing: medium skin tone,People & Body,person-activity,1F9D7 1F3FD 200D 2640
2056,🧗🏾‍♀️,woman climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE 200D 2640 FE0F
2057,🧗🏾‍♀,woman climbing: medium-dark skin tone,People & Body,person-activity,1F9D7 1F3FE 200D 2640
2058,🧗🏿‍♀️,woman climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF 200D 2640 FE0F
2059,🧗🏿‍♀,woman climbing: dark skin tone,People & Body,person-activity,1F9D7 1F3FF 200D 2640
2060,🤺,person fencing,People & Body,person-sport,1F93A
2061,🏇,horse racing,People & Body,person-sport,1F3C7
2062,🏇🏻,horse racing: light skin tone,People & Body,person-sport,1F3C7 1F3FB
2063,🏇🏼,horse racing: medium-light skin tone,People & Body,person-sport,1F3C7 1F3FC
2064,🏇🏽,horse racing: medium skin tone,People & Body,person-sport,1F3C7 1F3FD
2065,🏇🏾,horse racing: medium-dark skin tone,People & Body,person-sport,1F3C7 1F3FE
2066,🏇🏿,horse racing: dark skin tone,People & Body,person-sport,1F3C7 1F3FF
2067,⛷️,skier,People & Body,person-sport,26F7 FE0F
2068,⛷,skier,People & Body,person-sport,26F7
2069,🏂,snowboarder,People & Body,person-sport,1F3C2
2070,🏂🏻,snowboarder: light skin tone,People & Body,person-sport,1F3C2 1F3FB
2071,🏂🏼,snowboarder: medium-light skin tone,People & Body,person-sport,1F3C2 1F3FC
2072,🏂🏽,snowboarder: medium skin tone,People & Body,person-sport,1F3C2 1F3FD
2073,🏂🏾,snowboarder: medium-dark skin tone,People & Body,person-sport,1F3C2 1F3FE
2074,🏂🏿,snowboarder: dark skin tone,People & Body,person-sport,1F3C2 1F3FF
2075,🏌️,person golfing,People & Body,person-sport,1F3CC FE0F
2076,🏌,person golfing,People & Body,person-sport,1F3CC
2077,🏌🏻,person golfing: light skin tone,People & Body,person-sport,1F3CC 1F3FB
2078,🏌🏼,person golfing: medium-light skin tone,People & Body,person-sport,1F3CC 1F3FC
2079,🏌🏽,person golfing: medium skin tone,People & Body,person-sport,1F3CC 1F3FD
2080,🏌🏾,person golfing: medium-dark skin tone,People & Body,person-sport,1F3CC 1F3FE
2081,🏌🏿,person golfing: dark skin tone,People & Body,person-sport,1F3CC 1F3FF
2082,🏌️‍♂️,man golfing,People & Body,person-sport,1F3CC FE0F 200D 2642 FE0F
2083,🏌‍♂️,man golfing,People & Body,person-sport,1F3CC 200D 2642 FE0F
2084,🏌️‍♂,man golfing,People & Body,person-sport,1F3CC FE0F 200D 2642
2085,🏌‍♂,man golfing,People & Body,person-sport,1F3CC 200D 2642
2086,🏌🏻‍♂️,man golfing: light skin tone,People & Body,person-sport,1F3CC 1F3FB 200D 2642 FE0F
2087,🏌🏻‍♂,man golfing: light skin tone,People & Body,person-sport,1F3CC 1F3FB 200D 2642
2088,🏌🏼‍♂️,man golfing: medium-light skin tone,People & Body,person-sport,1F3CC 1F3FC 200D 2642 FE0F
2089,🏌🏼‍♂,man golfing: medium-light skin tone,People & Body,person-sport,1F3CC 1F3FC 200D 2642
2090,🏌🏽‍♂️,man golfing: medium skin tone,People & Body,person-sport,1F3CC 1F3FD 200D 2642 FE0F
2091,🏌🏽‍♂,man golfing: medium skin tone,People & Body,person-sport,1F3CC 1F3FD 200D 2642
2092,🏌🏾‍♂️,man golfing: medium-dark skin tone,People & Body,person-sport,1F3CC 1F3FE 200D 2642 FE0F
2093,🏌🏾‍♂,man golfing: medium-dark skin tone,People & Body,person-sport,1F3CC 1F3FE 200D 2642
2094,🏌🏿‍♂️,man golfing: dark skin tone,People & Body,person-sport,1F3CC 1F3FF 200D 2642 FE0F
2095,🏌🏿‍♂,man golfing: dark skin tone,People & Body,person-sport,1F3CC 1F3FF 200D 2642
2096,🏌️‍♀️,woman golfing,People & Body,person-sport,1F3CC FE0F 200D 2640 FE0F
2097,🏌‍♀️,woman golfing,People & Body,person-sport,1F3CC 200D 2640 FE0F
2098,🏌️‍♀,woman golfing,People & Body,person-sport,1F3CC FE0F 200D 2640
2099,🏌‍♀,woman golfing,People & Body,person-sport,1F3CC 200D 2640
2100,🏌🏻‍♀️,woman golfing: light skin tone,People & Body,person-sport,1F3CC 1F3FB 200D 2640 FE0F
2101,🏌🏻‍♀,woman golfing: light skin tone,People & Body,person-sport,1F3CC 1F3FB 200D 2640
2102,🏌🏼‍♀️,woman golfing: medium-light skin tone,People & Body,person-sport,1F3CC 1F3FC 200D 2640 FE0F
2103,🏌🏼‍♀,woman golfing: medium-light skin tone,People & Body,person-sport,1F3CC 1F3FC 200D 2640
2104,🏌🏽‍♀️,woman golfing: medium skin tone,People & Body,person-sport,1F3CC 1F3FD 200D 2640 FE0F
2105,🏌🏽‍♀,woman golfing: medium skin tone,People & Body,person-sport,1F3CC 1F3FD 200D 2640
2106,🏌🏾‍♀️,woman golfing: medium-dark skin tone,People & Body,person-sport,1F3CC 1F3FE 200D 2640 FE0F
2107,🏌🏾‍♀,woman golfing: medium-dark skin tone,People & Body,person-sport,1F3CC 1F3FE 200D 2640
2108,🏌🏿‍♀️,woman golfing: dark skin tone,People & Body,person-sport,1F3CC 1F3FF 200D 2640 FE0F
2109,🏌🏿‍♀,woman golfing: dark skin tone,People & Body,person-sport,1F3CC 1F3FF 200D 2640
2110,🏄,person surfing,People & Body,person-sport,1F3C4
2111,🏄🏻,person surfing: light skin tone,People & Body,person-sport,1F3C4 1F3FB
2112,🏄🏼,person surfing: medium-light skin tone,People & Body,person-sport,1F3C4 1F3FC
2113,🏄🏽,person surfing: medium skin tone,People & Body,person-sport,1F3C4 1F3FD
2114,🏄🏾,person surfing: medium-dark skin tone,People & Body,person-sport,1F3C4 1F3FE
2115,🏄🏿,person surfing: dark skin tone,People & Body,person-sport,1F3C4 1F3FF
2116,🏄‍♂️,man surfing,People & Body,person-sport,1F3C4 200D 2642 FE0F
2117,🏄‍♂,man surfing,People & Body,person-sport,1F3C4 200D 2642
2118,🏄🏻‍♂️,man surfing: light skin tone,People & Body,person-sport,1F3C4 1F3FB 200D 2642 FE0F
2119,🏄🏻‍♂,man surfing: light skin tone,People & Body,person-sport,1F3C4 1F3FB 200D 2642
2120,🏄🏼‍♂️,man surfing: medium-light skin tone,People & Body,person-sport,1F3C4 1F3FC 200D 2642 FE0F
2121,🏄🏼‍♂,man surfing: medium-light skin tone,People & Body,person-sport,1F3C4 1F3FC 200D 2642
2122,🏄🏽‍♂️,man surfing: medium skin tone,People & Body,person-sport,1F3C4 1F3FD 200D 2642 FE0F
2123,🏄🏽‍♂,man surfing: medium skin tone,People & Body,person-sport,1F3C4 1F3FD 200D 2642
2124,🏄🏾‍♂️,man surfing: medium-dark skin tone,People & Body,person-sport,1F3C4 1F3FE 200D 2642 FE0F
2125,🏄🏾‍♂,man surfing: medium-dark skin tone,People & Body,person-sport,1F3C4 1F3FE 200D 2642
2126,🏄🏿‍♂️,man surfing: dark skin tone,People & Body,person-sport,1F3C4 1F3FF 200D 2642 FE0F
2127,🏄🏿‍♂,man surfing: dark skin tone,People & Body,person-sport,1F3C4 1F3FF 200D 2642
2128,🏄‍♀️,woman surfing,People & Body,person-sport,1F3C4 200D 2640 FE0F
2129,🏄‍♀,woman surfing,People & Body,person-sport,1F3C4 200D 2640
2130,🏄🏻‍♀️,woman surfing: light skin tone,People & Body,person-sport,1F3C4 1F3FB 200D 2640 FE0F
2131,🏄🏻‍♀,woman surfing: light skin tone,People & Body,person-sport,1F3C4 1F3FB 200D 2640
2132,🏄🏼‍♀️,woman surfing: medium-light skin tone,People & Body,person-sport,1F3C4 1F3FC 200D 2640 FE0F
2133,🏄🏼‍♀,woman surfing: medium-light skin tone,People & Body,person-sport,1F3C4 1F3FC 200D 2640
2134,🏄🏽‍♀️,woman surfing: medium skin tone,People & Body,person-sport,1F3C4 1F3FD 200D 2640 FE0F
2135,🏄🏽‍♀,woman surfing: medium skin tone,People & Body,person-sport,1F3C4 1F3FD 200D 2640
2136,🏄🏾‍♀️,woman surfing: medium-dark skin tone,People & Body,person-sport,1F3C4 1F3FE 200D 2640 FE0F
2137,🏄🏾‍♀,woman surfing: medium-dark skin tone,People & Body,person-sport,1F3C4 1F3FE 200D 2640
2138,🏄🏿‍♀️,woman surfing: dark skin tone,People & Body,person-sport,1F3C4 1F3FF 200D 2640 FE0F
